Smelter,Province,Agri_Loss_BAU_Miliar,Agri_Loss_REAPC_Miliar,Agri_Loss_Saved_Miliar,Leontief_GRDP_Saved_Miliar,Health_Cost_Saved_Miliar
First Pacific Mining,North Maluku,0.0003,0.0003,-0.0,-0.0,0.0008
Kinlin Nickel Industri,South East Sulawesi,0.428,0.0533,0.3747,0.682,0.3476
Mahkota Konaweeha,South East Sulawesi,2.8246,1.1696,1.6549,3.012,3.3616
Ocean Sky Metal Industry,Central Sulawesi,1.5786,0.6468,0.9318,1.6959,0.3505
Zhao Hui Nickel,Central Sulawesi,1.5786,0.6185,0.9601,1.7474,0.3506
Sunny Metal Industry,North Maluku,0.7119,0.1333,0.5785,1.0529,0.3357
Obi Nickel Cobalt,North Maluku,0.1751,0.1364,0.0387,0.0704,0.2412
Perkasa Metal Industry,North Maluku,0.7873,0.7288,0.0585,0.1065,2.0169
Halmahera Jaya Feronikel,North Maluku,3.1213,0.7986,2.3227,4.2274,6.8928
Alchemist Metal Industry,North Maluku,0.0005,0.0003,0.0002,0.0003,0.0041
Karunia Permai Sentosa,North Maluku,0.1719,0.135,0.0369,0.0671,0.2365
PT Metal Smelt Indo Selaras,Central Sulawesi,1.5579,0.6467,0.9111,1.6583,0.3415
Ceria Nugraha Indotama (HPAL),South East Sulawesi,0.6846,0.3187,0.3659,0.666,0.8999
PT Huaneng Metal Industry,Central Sulawesi,1.5786,0.65,0.9286,1.6901,0.3509
PT ESG New Energy Material,Central Sulawesi,1.5786,0.6468,0.9318,1.6959,0.3503
Oracle Nickel,Central Sulawesi,1.5786,0.6185,0.9601,1.7474,0.3505
PT Andalan Metal Industry,North Maluku,0.7873,0.7288,0.0585,0.1065,2.0136
PT Langit Metal Industry,North Maluku,2.4657,0.242,2.2237,4.0471,4.0273
PT Lipe Metal Industry,North Maluku,2.4657,0.242,2.2237,4.0471,4.0251
PT Mazinger Nickel Industry,Central Sulawesi,7.924,3.1842,4.7398,8.6264,2.7784
PT Infei Metal Industry,North Maluku,0.7873,0.7288,0.0585,0.1065,2.013
PT Kao Rahai Smelters,North Maluku,0.978,0.7288,0.2492,0.4536,2.0263
PT Maluku Utara Metal Industry,North Maluku,0.7873,0.7558,0.0316,0.0574,1.9778
PT Jiu Long Metal Industry,North Maluku,0.7873,0.7288,0.0585,0.1065,2.0122
PT Sungai Raya Nickel Alloy Indonesia,South East Sulawesi,13.0722,3.7439,9.3283,16.9776,14.9502
PT Guang Tsing Halmahera Nickel,Other,0.0,0.0,0.0,0.0,0.0
PT MBG Nikel Indonesia,South East Sulawesi,1.8962,0.6765,1.2197,2.2199,2.1305
PT Westrong Metal Industry,North Maluku,0.7119,0.1333,0.5785,1.0529,0.3356
PT Blue Sparking Energy,North Maluku,0.7119,0.1333,0.5785,1.0529,0.3356
PT Heng Sheng New Energy Material Indonesia,South Sulawesi,1.508,0.4909,1.0171,1.8511,1.5906
PT Unity Nickel Alloy,South Sulawesi,0.5543,0.2253,0.3289,0.5986,0.4354
Dowstone Energy Materials Indonesia,South Sulawesi,0.5543,0.2253,0.3289,0.5986,0.433
Mitra Murni Perkasa,East Kalimantan,0.0,0.0,0.0,0.0,0.0
Nadesico Nickel Industry,Central Sulawesi,1.2817,0.6009,0.6808,1.239,0.2993
Debonair Nickel Industry,North Maluku,0.7119,0.1333,0.5785,1.0529,0.3358
Zhongtsing New Energy,Central Sulawesi,1.5786,0.6398,0.9388,1.7085,0.3515
Dingxing New Energy,Central Sulawesi,1.5786,0.6398,0.9388,1.7085,0.3516
Jade Bay Metal Industry,North Maluku,0.7119,0.1333,0.5785,1.0529,0.3357
PT Meiming New Energy Material,Central Sulawesi,1.5786,0.6185,0.9601,1.7474,0.3507
