Company,,,,2021,,,2022,,2023,
,,,,(US$ million),,,(US$ million),,(US$ million),
,Antam,,,"2,694.3",,,"2,918.0",,"2,662.7",
,MBMA,,,0.0,,,455.7,,"1,328.3",
,TBP (Harita),,,576.7,,,608.2,,"1,547.6",
,Vale,,,953.2,,,"1,179.5",,"1,232.3",
,Total revenue for the 4 nickel,,"4,224.2",,,"5,161.4",,,"6,770.9",
,companies (US$ million),,,,,,,,,
,Total revenue for the 7 coal,,"15,006.5",,,"25,288.0",,,"19,411.5",
,companies (US$ million),,,,,,,,,
,Nickel revenue as % of coal,,,28.1,,,20.4,,34.9,
,Newcastle coal benchmark,,138.1,,,344.9,,,172.8,
,(US$/tonne),,,,,,,,,
,Global nickel price (US$/tonne),,,"18,465",,,"25,834",,"21,521",
