Kelompok usia,Dampak kesehatan,Polutan,Fungsi konsentra si-respon,Kenaikan konsentra si,Batas ambang tanpa risiko,Referensi,Data insiden
1–18,Kasusasma baru,NO 2,1.26 (1.10– 1.37),10ppb,2ppb,Khreisetal. (2017),Achakulwi sutetal. (2019)
0–17,Kunjungan keruang gawat darurat karena asma,PM 2.5,1.025 (1.013– 1.037),10µg/m3,6µg/m3,Zhenget al.(2015),Anenberg etal. (2018)
18–99,Kunjungan keruang gawat darurat karena asma,PM 2.5,1.023 (1.015– 1.031),10µg/m3,6µg/m3,Zhenget al.(2015),Anenberg etal. (2018)
Bayi baru lahir,Kelahiran prematur,PM 2.5,1.15 (1.07– 1.16),10µg/m3,8.8µg/m3,Sapkotaet al.(2012),Chawanp aiboonet al.(2018)
20–65,Ketidak- hadiran kerja,PM 2.5,1.046 (1.039– 1.053),10µg/m3,N/A,WHO (2013),EEA (2014)
0–4,Kematian akibat infeksi saluran pernapasan bawah,PM 2.5,IHME (2020),,5.8µg/m3,IHME (2020),IHME (2020)
25–99,"Kematian akibat penyakit tidak menular,",PM 2.5,Burnettet al.(2018),,2.4µg/m3,Burnettet al.(2018),IHME (2020)
