Teknologi,Polutan yang dikontrol,"Biayainstalasi, pemasangansatukali",,"Operasionaldan pemeliharaan,tahunan",
,,(USDsaat ini/ton produksi nikel),(Rpsaat ini/ton produksi nikel),(USDsaat ini/ton produksi nikel),(Rpsaat ini/ton produksi nikel)
Diasumsikanuntukunitpeleburanatausmelters Catatan:PLTUdiasumsikandilengkapidengansistemkontrolpartikel,,,,,
Electrostatic precipitator (ESP),PM,19,"294,000",2,"29,000"
Gabungan,,19,"294,000",2,"29,000"
