SektorEkonomi,PenambahanPDRB (RpMiliar),PenambahanPDRB denganREdanAPC (RpMiliar)
"Pertanian,Kehutanan,danPerikanan","-13,59","81,81"
PertambangandanEkskavasi,"-0,01","1,28"
