Regency,Province,Province_Short,Year,Latitude,Longitude,CO2_tpy,CO2_Mt,Coal_MW,Total_MW,RE_Share_pct,N_Smelters,Ni_Output_tpy,RKEF_count,HPAL_count,Emission_Intensity,CO2_Share_prov,PDRB_BAU_TrRp,PDRB_RE_APC_TrRp,PDRB_Delta_TrRp
Bombana Regency,South East Sulawesi,Sultra,2029,-5.00767,121.93529,243213,0.2432,30.0,41.5,0.0,2,21500,0,0,11.3,0.0039,-0.0004,0.0364,0.0368
Bombana Regency,South East Sulawesi,Sultra,2035,-5.00767,121.93529,267534,0.2675,30.0,41.5,0.0,2,21500,0,0,11.3,0.0039,-0.0002,0.0085,0.0087
South Konawe Regency,South East Sulawesi,Sultra,2020,-4.4386,122.34905,34521,0.0345,2.0,18.5,0.0,4,0,1,0,0,0.0014,0.0079,0.0158,0.0079
South Konawe Regency,South East Sulawesi,Sultra,2024,-4.4386,122.34905,64727,0.0647,2.0,18.5,0.0,4,0,1,0,0,0.0014,0.0261,0.0368,0.0107
South Konawe Regency,South East Sulawesi,Sultra,2029,-4.4386,122.34905,86303,0.0863,2.0,18.5,0.0,4,0,1,0,0,0.0014,-0.0001,0.0129,0.013
South Konawe Regency,South East Sulawesi,Sultra,2035,-4.4386,122.34905,94933,0.0949,2.0,18.5,0.0,4,0,1,0,0,0.0014,-0.0001,0.003,0.0031
Kendari City,South East Sulawesi,Sultra,2020,-4.0062,122.63665,5634,0.0056,0.0,3.0,0.0,1,0,0,0,0,0.0002,0.0013,0.0026,0.0013
Kendari City,South East Sulawesi,Sultra,2024,-4.0062,122.63665,10564,0.0106,0.0,3.0,0.0,1,0,0,0,0,0.0002,0.0043,0.006,0.0018
Kendari City,South East Sulawesi,Sultra,2029,-4.0062,122.63665,14086,0.0141,0.0,3.0,0.0,1,0,0,0,0,0.0002,-0.0,0.0021,0.0021
Kendari City,South East Sulawesi,Sultra,2035,-4.0062,122.63665,15495,0.0155,0.0,3.0,0.0,1,0,0,0,0,0.0002,-0.0,0.0005,0.0005
North Konawe Regency,South East Sulawesi,Sultra,2020,-3.5232,122.16481,2066,0.0021,0.0,1.1,0.0,1,30400,0,1,0.2,0.0001,0.0005,0.0009,0.0005
North Konawe Regency,South East Sulawesi,Sultra,2024,-3.5232,122.16481,3874,0.0039,0.0,1.1,0.0,1,30400,0,1,0.2,0.0001,0.0016,0.0022,0.0006
North Konawe Regency,South East Sulawesi,Sultra,2029,-3.5232,122.16481,5165,0.0052,0.0,1.1,0.0,1,30400,0,1,0.2,0.0001,-0.0,0.0008,0.0008
North Konawe Regency,South East Sulawesi,Sultra,2035,-3.5232,122.16481,5682,0.0057,0.0,1.1,0.0,1,30400,0,1,0.2,0.0001,-0.0,0.0002,0.0002
