Smelter,Regency,Year,Year_Scaled,Latitude,Longitude,Coal_MW,CO2_Mt,RE_share_pct,GHG_Intensity,Target_PDRB_Smelter
Huayue Nickel Cobalt,Morowali Regency,2029,0.6,-2.85111166723729,122.180043120576,250.0,1.5768,0.0,26.3,-0.002656963293560434
Huayue Nickel Cobalt,Morowali Regency,2035,1.0,-2.85111166723729,122.180043120576,250.0,1.5768,0.0,26.3,-0.0010336271298715637
Zhao Hui Nickel,Morowali Regency,2020,0.0,-2.85963986226067,122.155000831011,0.0,1.564,0.0,68.0,0.35805270148894996
Zhao Hui Nickel,Morowali Regency,2024,0.26666666666666666,-2.85963986226067,122.155000831011,0.0,1.564,0.0,68.0,0.6304898577418844
Zhao Hui Nickel,Morowali Regency,2029,0.6,-2.85963986226067,122.155000831011,0.0,1.564,0.0,68.0,-0.0026353948447035255
Zhao Hui Nickel,Morowali Regency,2035,1.0,-2.85963986226067,122.155000831011,0.0,1.564,0.0,68.0,-0.001025236447944651
CORII RKEF,Morowali Regency,2020,0.0,-1.93869141224428,121.320296797426,0.0,1.36,0.0,68.0,0.3113501752077826
CORII RKEF,Morowali Regency,2024,0.26666666666666666,-1.93869141224428,121.320296797426,0.0,1.36,0.0,68.0,0.5482520502103343
CORII RKEF,Morowali Regency,2029,0.6,-1.93869141224428,121.320296797426,0.0,1.36,0.0,68.0,-0.0022916476910465437
CORII RKEF,Morowali Regency,2035,1.0,-1.93869141224428,121.320296797426,0.0,1.36,0.0,68.0,-0.0008915099547344792
Bukit Smelter Indonesia,Morowali Regency,2020,0.0,-2.85005087260833,122.167514383938,0.0,1.292,0.0,68.0,0.2957826664473934
Bukit Smelter Indonesia,Morowali Regency,2024,0.26666666666666666,-2.85005087260833,122.167514383938,0.0,1.292,0.0,68.0,0.5208394476998175
Bukit Smelter Indonesia,Morowali Regency,2029,0.6,-2.85005087260833,122.167514383938,0.0,1.292,0.0,68.0,-0.0021770653064942165
Bukit Smelter Indonesia,Morowali Regency,2035,1.0,-2.85005087260833,122.167514383938,0.0,1.292,0.0,68.0,-0.0008469344569977553
Cahaya Smelter Indonesia,Morowali Regency,2020,0.0,-2.85565622639356,122.168987996916,0.0,1.292,0.0,68.0,0.2957826664473934
Cahaya Smelter Indonesia,Morowali Regency,2024,0.26666666666666666,-2.85565622639356,122.168987996916,0.0,1.292,0.0,68.0,0.5208394476998175
Cahaya Smelter Indonesia,Morowali Regency,2029,0.6,-2.85565622639356,122.168987996916,0.0,1.292,0.0,68.0,-0.0021770653064942165
Cahaya Smelter Indonesia,Morowali Regency,2035,1.0,-2.85565622639356,122.168987996916,0.0,1.292,0.0,68.0,-0.0008469344569977553
Hengjaya Nickel Industry,Morowali Regency,2020,0.0,-2.84720726843122,122.164215585423,0.0,1.02,0.0,68.0,0.23351263140583692
Hengjaya Nickel Industry,Morowali Regency,2024,0.26666666666666666,-2.84720726843122,122.164215585423,0.0,1.02,0.0,68.0,0.41118903765775067
Hengjaya Nickel Industry,Morowali Regency,2029,0.6,-2.84720726843122,122.164215585423,0.0,1.02,0.0,68.0,-0.0017187357682849076
Hengjaya Nickel Industry,Morowali Regency,2035,1.0,-2.84720726843122,122.164215585423,0.0,1.02,0.0,68.0,-0.0006686324660508594
Ranger Nickel Industry,Morowali Regency,2020,0.0,-2.85105650826125,122.163937924412,0.0,1.02,0.0,68.0,0.23351263140583692
Ranger Nickel Industry,Morowali Regency,2024,0.26666666666666666,-2.85105650826125,122.163937924412,0.0,1.02,0.0,68.0,0.41118903765775067
Ranger Nickel Industry,Morowali Regency,2029,0.6,-2.85105650826125,122.163937924412,0.0,1.02,0.0,68.0,-0.0017187357682849076
Ranger Nickel Industry,Morowali Regency,2035,1.0,-2.85105650826125,122.163937924412,0.0,1.02,0.0,68.0,-0.0006686324660508594
Wanxiang Nickel Indonesia,Morowali Regency,2020,0.0,-2.7385893251359,122.028568769438,150.0,0.94608,0.0,68.0,0.21658983364748452
Wanxiang Nickel Indonesia,Morowali Regency,2024,0.26666666666666666,-2.7385893251359,122.028568769438,150.0,0.94608,0.0,68.0,0.38138992622278894
Wanxiang Nickel Indonesia,Morowali Regency,2029,0.6,-2.7385893251359,122.028568769438,150.0,0.94608,0.0,68.0,-0.0015941779761362604
Wanxiang Nickel Indonesia,Morowali Regency,2035,1.0,-2.7385893251359,122.028568769438,150.0,0.94608,0.0,68.0,-0.0006201762779229383
Tsingshan Steel Indonesia,Morowali Regency,2020,0.0,-2.83150301383204,122.168885300445,130.0,0.819936,0.0,70.0,0.18771118916115323
Tsingshan Steel Indonesia,Morowali Regency,2024,0.26666666666666666,-2.83150301383204,122.168885300445,130.0,0.819936,0.0,70.0,0.3305379360597504
Tsingshan Steel Indonesia,Morowali Regency,2029,0.6,-2.83150301383204,122.168885300445,130.0,0.819936,0.0,70.0,-0.0013816209126514256
Tsingshan Steel Indonesia,Morowali Regency,2035,1.0,-2.83150301383204,122.168885300445,130.0,0.819936,0.0,70.0,-0.0005374861075332131
PT Metal Smelt Indo Selaras,Morowali Regency,2020,0.0,-3.04298747012378,122.264709376272,130.0,0.819936,0.0,68.0,0.18771118916115323
PT Metal Smelt Indo Selaras,Morowali Regency,2024,0.26666666666666666,-3.04298747012378,122.264709376272,130.0,0.819936,0.0,68.0,0.3305379360597504
PT Metal Smelt Indo Selaras,Morowali Regency,2029,0.6,-3.04298747012378,122.264709376272,130.0,0.819936,0.0,68.0,-0.0013816209126514256
PT Metal Smelt Indo Selaras,Morowali Regency,2035,1.0,-3.04298747012378,122.264709376272,130.0,0.819936,0.0,68.0,-0.0005374861075332131
Fajar Metal Industry Excelsior Nickel Cobalt Project,Morowali Regency,2020,0.0,-2.83822430529276,122.117733364886,0.0,0.804,0.0,13.4,0.18406289769636558
Fajar Metal Industry Excelsior Nickel Cobalt Project,Morowali Regency,2024,0.26666666666666666,-2.83822430529276,122.117733364886,0.0,0.804,0.0,13.4,0.32411371203610934
Fajar Metal Industry Excelsior Nickel Cobalt Project,Morowali Regency,2029,0.6,-2.83822430529276,122.117733364886,0.0,0.804,0.0,13.4,-0.0013547681938245743
Fajar Metal Industry Excelsior Nickel Cobalt Project,Morowali Regency,2035,1.0,-2.83822430529276,122.117733364886,0.0,0.804,0.0,13.4,-0.0005270397085342068
QMB New Energy Materials Indonesia,Morowali Regency,2020,0.0,-2.86010717942546,122.171462609067,0.0,0.67,0.0,13.4,0.15338574808030464
QMB New Energy Materials Indonesia,Morowali Regency,2024,0.26666666666666666,-2.86010717942546,122.171462609067,0.0,0.67,0.0,13.4,0.27009476003009114
QMB New Energy Materials Indonesia,Morowali Regency,2029,0.6,-2.86010717942546,122.171462609067,0.0,0.67,0.0,13.4,-0.0011289734948538121
QMB New Energy Materials Indonesia,Morowali Regency,2035,1.0,-2.86010717942546,122.171462609067,0.0,0.67,0.0,13.4,-0.000439199757111839
Dingxing New Energy,Morowali Regency,2020,0.0,-2.82271172342708,122.137055315572,0.0,0.67,0.0,13.4,0.15338574808030464
Dingxing New Energy,Morowali Regency,2024,0.26666666666666666,-2.82271172342708,122.137055315572,0.0,0.67,0.0,13.4,0.27009476003009114
Dingxing New Energy,Morowali Regency,2029,0.6,-2.82271172342708,122.137055315572,0.0,0.67,0.0,13.4,-0.0011289734948538121
Dingxing New Energy,Morowali Regency,2035,1.0,-2.82271172342708,122.137055315572,0.0,0.67,0.0,13.4,-0.000439199757111839
PT ESG New Energy Material,Morowali Regency,2020,0.0,-2.85718814631921,122.172082174176,0.0,0.402,0.0,13.4,0.09203144884818279
PT ESG New Energy Material,Morowali Regency,2024,0.26666666666666666,-2.85718814631921,122.172082174176,0.0,0.402,0.0,13.4,0.16205685601805467
PT ESG New Energy Material,Morowali Regency,2029,0.6,-2.85718814631921,122.172082174176,0.0,0.402,0.0,13.4,-0.0006773840969122872
PT ESG New Energy Material,Morowali Regency,2035,1.0,-2.85718814631921,122.172082174176,0.0,0.402,0.0,13.4,-0.0002635198542671034
Sulawesi Resources,Morowali Regency,2020,0.0,-2.70055948941961,121.98016583085,60.0,0.378432,0.0,68.0,0.0866359334589938
Sulawesi Resources,Morowali Regency,2024,0.26666666666666666,-2.70055948941961,121.98016583085,60.0,0.378432,0.0,68.0,0.15255597048911557
Sulawesi Resources,Morowali Regency,2029,0.6,-2.70055948941961,121.98016583085,60.0,0.378432,0.0,68.0,-0.0006376711904545041
Sulawesi Resources,Morowali Regency,2035,1.0,-2.70055948941961,121.98016583085,60.0,0.378432,0.0,68.0,-0.0002480705111691753
PT Meiming New Energy Material,Morowali Regency,2020,0.0,-2.86010279620949,122.145358157235,0.0,0.335,0.0,13.4,0.07669287404015232
PT Meiming New Energy Material,Morowali Regency,2024,0.26666666666666666,-2.86010279620949,122.145358157235,0.0,0.335,0.0,13.4,0.13504738001504557
PT Meiming New Energy Material,Morowali Regency,2029,0.6,-2.86010279620949,122.145358157235,0.0,0.335,0.0,13.4,-0.0005644867474269061
PT Meiming New Energy Material,Morowali Regency,2035,1.0,-2.86010279620949,122.145358157235,0.0,0.335,0.0,13.4,-0.0002195998785559195
CORII BF,Morowali Regency,2020,0.0,-1.93869141224428,121.320296797426,15.0,0.094608,0.0,11.8,0.02165898336474845
CORII BF,Morowali Regency,2024,0.26666666666666666,-1.93869141224428,121.320296797426,15.0,0.094608,0.0,11.8,0.03813899262227889
CORII BF,Morowali Regency,2029,0.6,-1.93869141224428,121.320296797426,15.0,0.094608,0.0,11.8,-0.00015941779761362602
CORII BF,Morowali Regency,2035,1.0,-1.93869141224428,121.320296797426,15.0,0.094608,0.0,11.8,-6.201762779229383e-05
Ang And Fang Brother,Morowali Regency,2020,0.0,-2.78683713746305,122.083405959012,0.0,0.046954,0.0,68.0,0.010749364799048694
Ang And Fang Brother,Morowali Regency,2024,0.26666666666666666,-2.78683713746305,122.083405959012,0.0,0.046954,0.0,68.0,0.018928402033511788
Ang And Fang Brother,Morowali Regency,2029,0.6,-2.78683713746305,122.083405959012,0.0,0.046954,0.0,68.0,-7.911913653338193e-05
Ang And Fang Brother,Morowali Regency,2035,1.0,-2.78683713746305,122.083405959012,0.0,0.046954,0.0,68.0,-3.0779381187207895e-05
Karunia Permai Sentosa,South Halmahera Regency,2020,0.0,-1.56863134432775,127.428752314741,0.0,12.58,0.0,68.0,1.0585710299719033
Karunia Permai Sentosa,South Halmahera Regency,2024,0.26666666666666666,-1.56863134432775,127.428752314741,0.0,12.58,0.0,68.0,1.8640632754127746
Karunia Permai Sentosa,South Halmahera Regency,2029,0.6,-1.56863134432775,127.428752314741,0.0,12.58,0.0,68.0,-0.007803767669059744
Karunia Permai Sentosa,South Halmahera Regency,2035,1.0,-1.56863134432775,127.428752314741,0.0,12.58,0.0,68.0,-0.003027706073061731
Obi Nickel Cobalt,South Halmahera Regency,2020,0.0,-1.53389444850468,127.41908725139,1520.0,9.586944,0.0,147.5,0.8067139256250366
Obi Nickel Cobalt,South Halmahera Regency,2024,0.26666666666666666,-1.53389444850468,127.41908725139,1520.0,9.586944,0.0,147.5,1.4205620217677941
Obi Nickel Cobalt,South Halmahera Regency,2029,0.6,-1.53389444850468,127.41908725139,1520.0,9.586944,0.0,147.5,-0.005947081369816082
Obi Nickel Cobalt,South Halmahera Regency,2035,1.0,-1.53389444850468,127.41908725139,1520.0,9.586944,0.0,147.5,-0.0023073488530129353
Halmahera Persada Lygend,South Halmahera Regency,2020,0.0,-1.53887378195392,127.420130725153,1250.0,7.884,0.0,143.3,0.6634160572574314
Halmahera Persada Lygend,South Halmahera Regency,2024,0.26666666666666666,-1.53887378195392,127.420130725153,1250.0,7.884,0.0,143.3,1.1682253468485146
Halmahera Persada Lygend,South Halmahera Regency,2029,0.6,-1.53887378195392,127.420130725153,1250.0,7.884,0.0,143.3,-0.004890691915967172
Halmahera Persada Lygend,South Halmahera Regency,2035,1.0,-1.53887378195392,127.420130725153,1250.0,7.884,0.0,143.3,-0.001897490833069848
Halmahera Jaya Feronikel,South Halmahera Regency,2020,0.0,-1.56014879697201,127.427420671122,1074.0,6.773933,0.0,71.3,0.5700070932250132
Halmahera Jaya Feronikel,South Halmahera Regency,2024,0.26666666666666666,-1.56014879697201,127.427420671122,1074.0,6.773933,0.0,71.3,1.0037392476475901
Halmahera Jaya Feronikel,South Halmahera Regency,2029,0.6,-1.56014879697201,127.427420671122,1074.0,6.773933,0.0,71.3,-0.0042020826182652534
Halmahera Jaya Feronikel,South Halmahera Regency,2035,1.0,-1.56014879697201,127.427420671122,1074.0,6.773933,0.0,71.3,-0.0016303241719088453
Angel Nickel Industry,Central Halmahera Regency,2020,0.0,0.48068,127.99074,760.0,4.793472,0.0,133.2,0.4033675831380229
Angel Nickel Industry,Central Halmahera Regency,2024,0.26666666666666666,0.48068,127.99074,760.0,4.793472,0.0,133.2,0.7102731988938451
Angel Nickel Industry,Central Halmahera Regency,2029,0.6,0.48068,127.99074,760.0,4.793472,0.0,133.2,-0.0029702382123478993
Angel Nickel Industry,Central Halmahera Regency,2035,1.0,0.48068,127.99074,760.0,4.793472,0.0,133.2,-0.0011612330269659711
PT Westrong Metal Industry,Central Halmahera Regency,2020,0.0,0.484250049328921,127.986313601741,0.0,3.808,0.0,68.0,0.3204407487077407
PT Westrong Metal Industry,Central Halmahera Regency,2024,0.26666666666666666,0.484250049328921,127.986313601741,0.0,3.808,0.0,68.0,0.5642507855240965
PT Westrong Metal Industry,Central Halmahera Regency,2029,0.6,0.484250049328921,127.986313601741,0.0,3.808,0.0,68.0,-0.002359598035123768
PT Westrong Metal Industry,Central Halmahera Regency,2035,1.0,0.484250049328921,127.986313601741,0.0,3.808,0.0,68.0,-0.000922499467335246
PT Langit Metal Industry,Central Halmahera Regency,2020,0.0,0.485177317918801,127.984867275989,0.0,2.448,0.0,68.0,0.20599762416926187
PT Langit Metal Industry,Central Halmahera Regency,2024,0.26666666666666666,0.485177317918801,127.984867275989,0.0,2.448,0.0,68.0,0.3627326478369192
PT Langit Metal Industry,Central Halmahera Regency,2029,0.6,0.485177317918801,127.984867275989,0.0,2.448,0.0,68.0,-0.0015168844511509938
PT Langit Metal Industry,Central Halmahera Regency,2035,1.0,0.485177317918801,127.984867275989,0.0,2.448,0.0,68.0,-0.0005930353718583724
Sunny Metal Industry,Central Halmahera Regency,2020,0.0,0.487106858706739,127.981324757247,380.0,2.396736,0.0,43.6,0.20168379156901145
Sunny Metal Industry,Central Halmahera Regency,2024,0.26666666666666666,0.487106858706739,127.981324757247,380.0,2.396736,0.0,43.6,0.35513659944692255
Sunny Metal Industry,Central Halmahera Regency,2029,0.6,0.487106858706739,127.981324757247,380.0,2.396736,0.0,43.6,-0.0014851191061739496
